Original: get|min|height , predicted 1st: get|min|height
Original: create|entry , predicted 1st: create|entry
Original: peek|scissors , predicted 1st: get
Original: show|generation|panel , predicted 1st: set|visible
Original: render , predicted 1st: run
Original: mul|left , predicted 1st: set
Original: add , predicted 1st: add|region
Original: act , predicted 1st: 
Original: contains , predicted 1st: is
Original: put , predicted 1st: write
Original: copy , predicted 1st: copy
Original: draw , predicted 1st: paint
Original: create|entry , predicted 1st: create|entry
Original: set , predicted 1st: 
Original: get|vertex|shader|source , predicted 1st: get|source|source
Original: get|c|ptr , predicted 1st: get
Original: remove|actor , predicted 1st: set
Original: get|last|selected , predicted 1st: get|selected
Original: create|entry , predicted 1st: create|entry
Original: begin , predicted 1st: set|type
Original: create|entry , predicted 1st: create|entry
Original: as|read|only|buffer , predicted 1st: copy|read|short|short
Original: test|point , predicted 1st: get
Original: render , predicted 1st: test
Original: create , predicted 1st: run
Original: update|texture|regions , predicted 1st: add
Original: init , predicted 1st: init
Original: put , predicted 1st: write
Original: get|local|axis|a , predicted 1st: to
Original: create|entry , predicted 1st: create|entry
Original: pack , predicted 1st: get
Original: implicit|solve , predicted 1st: 
Original: write|short , predicted 1st: write
Original: remove|value , predicted 1st: remove|index
Original: alloc|renderable , predicted 1st: test
Original: get|texture , predicted 1st: get
Original: read|unsigned|short , predicted 1st: read|read
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: new|permission|collection , predicted 1st: get
Original: get|attribute|type , predicted 1st: get|attribute
Original: delete , predicted 1st: delete
Original: remove|value , predicted 1st: remove|value
Original: invalidate|all|shader|programs , predicted 1st: check
Original: put|int , predicted 1st: get
Original: load , predicted 1st: load
Original: set|filter , predicted 1st: method
Original: dispose , predicted 1st: dispose
Original: before|group , predicted 1st: set|group
Original: set|amount|width , predicted 1st: set|width
Original: put , predicted 1st: get
Original: initialize|components , predicted 1st: init|components
Original: set|values , predicted 1st: set|value
Original: add , predicted 1st: remove
Original: new|drawable , predicted 1st: create
Original: create|world , predicted 1st: create|test
Original: compact , predicted 1st: read|buffer
Original: put , predicted 1st: get|int
Original: get|d , predicted 1st: get|d
Original: create|entry , predicted 1st: create|entry
Original: set|pressure , predicted 1st: set|data|data|data
Original: set|stage , predicted 1st: set|stage
Original: create|entry , predicted 1st: create|entry
Original: get|attributes , predicted 1st: get|attribute|names
Original: protected|array , predicted 1st: get|all
Original: create|entry , predicted 1st: create|entry
Original: add|actor|before , predicted 1st: show
Original: get|baumgarte , predicted 1st: get|jdbc|data|data
Original: read|byte , predicted 1st: read|byte
Original: dot , predicted 1st: get
Original: duplicate , predicted 1st: copy
Original: slice , predicted 1st: to|array
Original: generate|height|map , predicted 1st: get|bytes
Original: fit|inside , predicted 1st: set|size
Original: set , predicted 1st: set
Original: next|boolean , predicted 1st: has|next
Original: allocate , predicted 1st: new|short
Original: read|char , predicted 1st: read|char
Original: set|from|axes , predicted 1st: to|int
Original: write|int , predicted 1st: write
Original: on|cancel , predicted 1st: run
Original: remove|first , predicted 1st: get|value
Original: is|scroll|x , predicted 1st: is|scroll|to|x
Original: get|axis|angle , predicted 1st: get
Original: render , predicted 1st: test
Original: set|variable|size|knobs , predicted 1st: set|variable
Original: load|sync , predicted 1st: get
Original: set|length , predicted 1st: write
Original: get|required , predicted 1st: is|required
Original: set|max|self|collision|impulse , predicted 1st: set|max|data|max|max|timeout
Original: line , predicted 1st: draw
Original: get|height , predicted 1st: get|height
Original: set|velocity|iterations , predicted 1st: set|data|data|body
Original: slice , predicted 1st: to|array|array|array
Original: get|rotation|matrix , predicted 1st: set|override
Original: begin , predicted 1st: start
Original: dirty , predicted 1st: reset
Original: contains , predicted 1st: is
Original: set|clamp , predicted 1st: set
Original: get|azimuth , predicted 1st: get
Original: set|m|vcount , predicted 1st: set
Original: create|dummies , predicted 1st: get
Original: get|max|motor|torque , predicted 1st: get|max
Original: fill , predicted 1st: reset
Original: get|capture , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: render|skeleton , predicted 1st: do|paint
Original: begin , predicted 1st: reset|last
Original: get|region , predicted 1st: get|region
Original: translate , predicted 1st: set|dirty
Original: is|edges , predicted 1st: is
Original: dispose , predicted 1st: run
Original: dispose , predicted 1st: test
Original: put|float , predicted 1st: set
Original: set|intensity , predicted 1st: set
Original: duplicate , predicted 1st: copy
Original: orthogonalize , predicted 1st: 
Original: contains , predicted 1st: is
Original: layout , predicted 1st: set|left|height
Original: load , predicted 1st: parse
Original: set|center , predicted 1st: set|position
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: slerp , predicted 1st: 
Original: write , predicted 1st: set|json
Original: mix|restitution , predicted 1st: get
Original: touch|up , predicted 1st: set|mode
Original: parse , predicted 1st: get|file
Original: push|scissors , predicted 1st: 
Original: circle , predicted 1st: paint
Original: on|resize , predicted 1st: before|event
Original: set|indices , predicted 1st: set
Original: read|cim , predicted 1st: read
Original: restart , predicted 1st: reset
Original: create , predicted 1st: run
Original: get|y , predicted 1st: get|y
Original: enable|blending , predicted 1st: run
Original: get , predicted 1st: get
Original: set|time|scale , predicted 1st: set|jdbc|data|data
Original: get|masses , predicted 1st: get|data|data|options
Original: mul , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|scale , predicted 1st: set|end
Original: set|uniformf , predicted 1st: set
Original: load , predicted 1st: set|data
Original: create|entry , predicted 1st: create|entry
Original: is|instantiable|with|new|operator , predicted 1st: is|public
Original: get|joint|translation , predicted 1st: get
Original: set|visual|interpolation|inverse , predicted 1st: set
Original: load , predicted 1st: set
Original: set|soft|soft|cluster|hardness , predicted 1st: set|soft|soft|soft|soft|value
Original: consume|pixmap , predicted 1st: get
Original: render|skeleton , predicted 1st: do|create
Original: list , predicted 1st: get|files
Original: set|color , predicted 1st: set|color
Original: get|flags , predicted 1st: get|result
Original: set|units|per|pixel , predicted 1st: set
Original: create , predicted 1st: create
Original: create|entry , predicted 1st: create|entry
Original: dispose , predicted 1st: dispose|resources
Original: is|prepared , predicted 1st: is|show
Original: revert , predicted 1st: clear
Original: un|plug , predicted 1st: remove|group
Original: sub , predicted 1st: sub
Original: get|accelerometer|z , predicted 1st: get
Original: draw , predicted 1st: set
Original: set , predicted 1st: set
Original: list , predicted 1st: get|list
Original: write|byte , predicted 1st: write
Original: create|entry , predicted 1st: create|entry
Original: project|on|axis , predicted 1st: on|project
Original: get|type , predicted 1st: get|class|name
Original: resolve , predicted 1st: resolve
Original: is|text , predicted 1st: contains|url
Original: copy , predicted 1st: write|to|array
Original: dispose , predicted 1st: dispose
Original: after|group , predicted 1st: set|group
Original: slice , predicted 1st: to|array|buffer
Original: create|entry , predicted 1st: create|entry
Original: set|disabled , predicted 1st: set|disabled
Original: is|direct , predicted 1st: is
Original: duplicate , predicted 1st: copy
Original: add|single|result , predicted 1st: process|result
Original: obtain , predicted 1st: get
Original: set|auto|shape|type , predicted 1st: set|auto|type|type
Original: create|entry , predicted 1st: create|entry
Original: is|continuous , predicted 1st: is
Original: slice , predicted 1st: get|read|buffer|buffer
Original: set|kinetic|contact|hardness , predicted 1st: set|data|data|data
Original: dispose , predicted 1st: dispose
Original: get|page|width , predicted 1st: get|page|width
Original: reset|fade , predicted 1st: set|delay|delay
Original: next|bytes , predicted 1st: set|bytes
Original: dispose|pixmap , predicted 1st: is|dispose
Original: set|from|axis|rad , predicted 1st: 
Original: set|soft|kinetic|cluster|impulse|split , predicted 1st: set|soft|soft|soft|soft|value
Original: protected|array , predicted 1st: get|read|read|read|read
Original: put|long , predicted 1st: set|value
Original: get|soft|contact|hardness , predicted 1st: get|soft|soft|soft|soft|data
Original: create|entry , predicted 1st: create|entry
Original: set|value , predicted 1st: do|click
Original: get|pose|match , predicted 1st: get|jdbc|data|data
Original: set|uniformi , predicted 1st: set|value
Original: set|velocity|x , predicted 1st: set|x
Original: read|fully , predicted 1st: read
Original: set|imass , predicted 1st: set|data|data|options
Original: create|entry , predicted 1st: create|entry
Original: set|high , predicted 1st: set|max|max
Original: get|pitch|rad , predicted 1st: get
Original: iter|reverse , predicted 1st: set|up
Original: get|width , predicted 1st: get|width
Original: hash|equals|text , predicted 1st: test|first
